date,600000.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH
2022-02-11,0,-100,0,100,-62,-14,13,-100,100,0
2022-02-14,0,-93,100,48,71,-23,100,-100,2,0
2022-02-15,77,-80,-47,49,-89,67,-7,-5,-100,0
2022-02-16,-62,-72,-53,-34,-27,-100,21,-100,11,0
2022-02-17,-15,7,0,80,-100,-100,-66,100,28,0
2022-02-18,0,100,80,61,25,64,100,94,-10,0
2022-02-21,0,100,100,12,92,75,-100,-14,0,0
2022-02-22,0,73,-52,100,-100,58,-48,43,77,0
2022-02-23,0,-26,100,-83,27,19,-13,100,28,0
2022-02-24,50,-48,32,-100,100,-100,5,-100,99,100
2022-02-25,-27,-27,100,-100,100,83,-5,-100,90,-49
2022-02-28,-23,8,0,80,-73,100,45,-66,-99,49
2022-03-01,0,20,-93,42,-100,-31,-45,0,46,-41
2022-03-02,100,-100,-59,7,-29,27,100,-99,-50,100
2022-03-03,-42,100,-17,-100,100,-87,18,-65,42,-100
2022-03-04,-58,6,32,-79,-1,100,-85,-48,-77,-59
2022-03-07,67,34,35,-74,-79,17,-33,-100,-30,100
2022-03-08,-32,58,-100,100,-62,-47,61,18,100,-92
2022-03-09,-35,-100,33,-63,100,43,-53,-44,100,-8
2022-03-10,0,-85,100,78,70,-53,-8,100,-100,0
2022-03-11,19,-100,-100,-100,4,100,0,68,100,0
2022-03-14,100,32,-1,-24,100,100,0,-100,-100,0
2022-03-15,-15,-5,89,100,-71,-75,3,-100,19,0
2022-03-16,-22,0,29,96,-10,-6,-3,69,-43,0
2022-03-17,-23,16,55,-31,-100,-34,96,-2,100,0
2022-03-18,100,-17,-55,-6,21,18,40,94,58,41
2022-03-21,81,100,-34,-5,-56,32,-8,0,6,-41
2022-03-22,100,62,100,-69,89,100,-38,-52,-4,34
2022-03-23,99,-77,19,100,100,100,24,-36,-45,72
2022-03-24,-3,9,-100,100,100,61,-61,-100,-100,-73
2022-03-25,-8,34,30,-38,-100,-94,56,-100,-13,-33
2022-03-28,27,20,100,-13,43,-15,100,-100,1,0
2022-03-29,-100,65,100,68,62,-31,-100,-100,-100,0
2022-03-30,-96,-63,77,98,-20,81,-60,-53,75,0
2022-03-31,100,-82,100,100,96,-100,100,0,44,64
2022-04-01,-12,-97,-99,61,-55,-100,69,-26,24,-44
2022-04-06,92,-54,57,-100,100,16,72,-99,-34,100
2022-04-07,-31,50,-65,5,-100,-7,100,80,-94,-100
2022-04-08,-100,82,26,23,100,-58,-100,45,100,-20
2022-04-11,96,100,-59,-68,-100,-86,-37,-100,8,39
2022-04-12,-8,-8,-100,100,-77,-86,-55,-100,100,100
2022-04-13,-100,75,-100,-9,29,-100,100,33,2,-50
2022-04-14,-67,-50,100,-40,40,-1,31,-13,91,-89
2022-04-15,14,-100,-74,-100,3,-80,-100,100,-58,7
2022-04-18,-100,-97,-12,-100,-78,-60,-87,-100,-100,-7
2022-04-19,-19,-11,30,-12,-35,15,24,-6,-13,100
2022-04-20,60,100,100,-27,3,3,100,3,-7,100
2022-04-21,-74,100,42,-59,17,44,-98,5,100,-100
2022-04-22,51,-100,79,-96,17,66,82,-52,11,-100
2022-04-25,100,64,39,1,100,-100,-32,-67,-100,0
2022-04-26,-93,100,-12,-79,47,-46,65,-100,83,93
2022-04-27,-100,60,-64,50,98,-73,-100,100,-37,61
2022-04-28,-66,41,88,100,100,94,100,-100,-43,29
2022-04-29,-1,100,100,50,-13,73,-57,89,4,37
2022-05-05,-1,19,-12,52,63,-5,36,100,-13,-100
2022-05-06,64,61,87,90,-45,-5,-43,2,-28,-56
2022-05-09,100,76,71,-100,100,72,-100,-37,100,100
2022-05-10,-98,-49,-100,18,-14,-100,100,28,-36,22
2022-05-11,100,100,1,89,14,100,25,100,-92,-68
2022-05-12,-21,-25,-100,48,19,31,-90,97,83,-5
2022-05-13,0,91,100,100,-53,54,100,-49,100,98
2022-05-16,100,7,100,46,12,-74,59,16,86,5
