date,600000.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH
2022-08-16,-100,-50,5,0,54,88,51,-11,43,15
2022-08-17,-92,-77,35,85,100,48,-35,93,-3,-15
2022-08-18,-100,100,-52,-85,96,-17,-16,69,-25,0
2022-08-19,-28,46,37,0,-17,100,100,-100,-15,100
2022-08-22,51,13,23,0,68,-52,98,-80,0,52
2022-08-23,100,-34,-17,0,100,-100,95,47,0,61
2022-08-24,0,13,-19,100,-11,90,-60,-41,53,-29
2022-08-25,100,71,21,73,-97,-61,-100,100,-53,1
2022-08-26,82,-100,-100,23,100,-23,100,-57,100,39
2022-08-29,-23,22,6,-30,-91,68,100,100,11,63
2022-08-30,97,99,-100,-92,96,6,5,-35,100,100
2022-08-31,36,-100,-14,64,-52,-100,-100,46,-100,-100
2022-09-01,-100,-78,-29,-100,-100,60,-43,-100,-100,-100
2022-09-02,-100,-35,3,-38,-97,-100,-100,27,19,100
2022-09-05,100,46,100,5,-70,-7,-73,-97,77,-87
2022-09-06,39,69,100,100,14,63,-22,-32,34,10
2022-09-07,65,-72,-2,-100,7,100,0,-7,36,100
2022-09-08,-55,19,-15,-5,-88,-99,63,-27,16,100
2022-09-09,22,-51,100,100,8,-64,-29,-54,-100,-78
2022-09-13,-17,85,-49,100,0,0,62,-62,83,83
2022-09-14,100,-13,-42,-100,-100,0,38,38,3,-68
2022-09-15,-3,-35,-39,-94,54,0,100,9,46,100
2022-09-16,-28,35,-14,-6,-100,0,-100,100,27,100
2022-09-19,76,93,25,0,-100,100,2,-100,-11,-37
2022-09-20,25,-100,100,0,100,15,-93,-94,-97,66
2022-09-21,58,26,100,0,60,55,100,27,72,6
2022-09-22,-49,-100,-61,5,-67,-25,-5,-55,-55,-100
2022-09-23,100,-100,46,14,100,18,-69,80,17,-11
2022-09-26,-80,100,40,-19,75,-9,54,-12,-8,-65
2022-09-27,38,-3,100,0,100,-100,-99,11,-100,-28
2022-09-28,100,100,-56,0,8,-54,100,-19,4,100
2022-09-29,100,70,-100,0,-63,0,51,36,100,-15
2022-09-30,100,98,-78,0,23,0,34,-100,-11,100
2022-10-10,-100,100,-100,22,-19,0,67,60,100,-43
2022-10-11,21,-52,-9,-22,0,100,-100,18,-62,-31
2022-10-12,100,100,-100,0,47,-85,-32,41,10,93
2022-10-13,100,-100,100,100,31,79,53,-100,21,75
2022-10-14,-7,-100,100,-42,27,-56,-100,35,-24,100
2022-10-17,-60,41,-100,100,18,-38,-42,-80,95,-6
2022-10-18,100,100,40,100,100,16,79,-54,-23,59
2022-10-19,-37,65,-10,100,100,26,100,95,-90,100
2022-10-20,15,-8,100,-20,100,3,-90,-92,-100,-80
2022-10-21,-10,99,56,100,-9,20,-17,70,-51,100
2022-10-24,-65,-88,-55,100,-100,39,-73,-14,-35,43
2022-10-25,56,100,0,69,-100,100,55,-1,5,-100
2022-10-26,-57,60,100,98,100,29,13,-100,-9,100
2022-10-27,-33,31,-6,18,-48,14,-24,-47,0,-93
2022-10-28,-80,58,-100,-100,68,63,100,-100,0,100
2022-10-31,-10,-8,-63,-11,-41,-16,100,-100,100,100
2022-11-01,-100,-39,9,100,-33,30,42,66,2,100
2022-11-02,21,-100,-96,30,91,83,-56,-39,-100,2
2022-11-03,61,97,-100,100,100,-100,100,100,100,-21
2022-11-04,14,-48,100,-100,100,-48,-30,100,-34,85
2022-11-07,-32,100,-54,-100,-100,-46,100,-5,-16,100
2022-11-08,-57,24,80,-100,-37,-23,-43,-41,-52,-15
2022-11-09,-27,100,100,-100,-66,100,54,21,100,18
2022-11-10,100,-100,-100,43,9,89,-100,100,100,-92
2022-11-11,-89,-67,-71,39,7,100,75,-87,100,100
2022-11-14,-24,99,-100,25,-100,37,51,-42,-9,15
2022-11-15,100,-57,100,41,35,-75,-100,100,28,100
2022-11-16,-98,6,-24,97,-11,35,100,57,-8,100
2022-11-17,99,99,-4,-39,-94,-27,100,-18,-9,100
