date,600016.SH,600028.SH,600050.SH,600196.SH,600276.SH,600340.SH,600547.SH,600585.SH,600887.SH,601066.SH,601088.SH,601166.SH,601186.SH,601288.SH,601328.SH,601336.SH,601390.SH,601668.SH,601688.SH,601888.SH
2020-12-10,91,0,1,0,26,0,91,92,63,93,99,97,99,0,-96,0,0,0,2,-99
2020-12-11,3,0,-1,0,84,0,70,-9,0,99,99,87,95,0,-69,17,94,30,88,-99
2020-12-14,25,0,0,66,-83,46,-51,-83,-11,99,96,93,99,0,97,48,-8,-30,-53,-74
2020-12-15,78,0,81,0,0,-46,3,0,-33,0,-82,94,-30,1,0,-93,-86,3,-37,98
2020-12-16,16,0,-3,-48,-93,98,-94,67,-19,73,98,-59,99,-1,-95,-32,82,97,87,-99
2020-12-17,-74,0,69,-6,72,41,89,96,0,-35,-4,-26,70,32,85,-90,99,96,-1,-98
2020-12-18,92,0,-28,11,71,-49,-24,50,0,63,-54,-18,40,-8,98,-72,-93,-81,94,-94
2020-12-21,12,0,94,87,94,-90,-99,32,0,37,-70,29,64,85,98,55,95,18,56,-55
2020-12-22,94,0,-93,-55,86,0,-88,47,0,-75,86,62,92,44,-96,-42,80,42,49,22
2020-12-23,66,0,51,34,69,0,-63,29,0,23,-95,41,99,70,-76,-86,-33,-28,2,-19
2020-12-24,-78,0,-31,0,51,0,90,98,0,0,-83,0,0,-2,-99,-64,-15,1,82,96
2020-12-25,-43,0,-22,0,-98,0,0,-96,0,-99,0,0,0,-60,-67,0,0,38,0,80
2020-12-28,0,0,0,0,1,0,-62,0,0,0,-90,-2,6,-17,0,-14,0,0,0,15
2020-12-29,-49,0,2,-73,75,0,-74,-98,0,0,97,-52,97,-95,-29,-51,-30,89,10,16
2020-12-30,-15,0,89,6,-88,43,59,-69,1,71,98,-65,23,-49,-19,-44,77,68,3,-2
2020-12-31,-94,1,0,0,0,-43,0,-77,0,0,-20,-33,23,0,-83,-80,-94,0,0,75
2021-01-04,-93,59,4,-22,68,71,0,74,-1,0,0,-22,99,0,-97,0,-34,-28,65,-40
2021-01-05,-48,-27,0,0,-73,-19,36,-97,0,98,97,85,87,6,-95,90,-27,99,0,0
