date,600016.SH,600028.SH,600050.SH,600196.SH,600276.SH,600340.SH,600547.SH,600585.SH,600887.SH,601066.SH,601088.SH,601166.SH,601186.SH,601288.SH,601328.SH,601336.SH,601390.SH,601668.SH,601688.SH,601888.SH
2021-07-05,0,-100,-100,0,-100,0,0,-100,-100,0,0,0,0,83,0,0,0,0,-100,57
2021-07-06,0,-12,-100,0,-100,0,0,-100,-100,0,0,0,0,4,0,0,0,0,-100,56
2021-07-07,0,0,-85,0,-100,0,0,-95,-47,0,0,0,0,50,0,0,0,0,-100,49
2021-07-08,0,0,0,0,-100,0,0,0,0,0,0,0,0,41,0,0,0,0,-100,28
2021-07-09,0,0,0,0,-100,0,0,0,0,0,0,0,0,16,0,0,0,0,-100,29
2021-07-12,0,0,0,0,-100,0,0,0,0,0,0,0,0,61,0,0,0,0,-11,22
2021-07-13,0,0,0,0,-100,0,0,0,0,0,0,0,0,39,0,0,0,0,0,21
2021-07-14,0,0,0,0,-100,0,0,0,0,0,0,0,0,24,0,0,0,0,0,21
2021-07-15,0,0,0,0,-100,0,0,0,0,0,0,0,0,10,0,0,0,0,0,21
2021-07-16,0,0,0,0,-100,0,0,0,0,0,0,0,0,75,0,0,0,0,0,21
2021-07-19,0,0,0,0,-100,0,0,0,0,0,0,0,0,93,0,0,0,0,0,20
2021-07-20,0,0,0,0,-100,0,0,0,0,0,0,0,0,48,0,0,0,0,0,21
2021-07-21,0,0,0,0,-100,0,0,0,0,0,0,0,0,7,0,0,0,0,0,22
2021-07-22,0,0,0,0,-100,0,0,0,0,0,0,0,0,65,0,0,0,0,0,21
2021-07-23,0,0,0,0,-100,0,0,0,0,0,0,0,0,9,0,0,0,0,0,22
2021-07-26,0,0,0,0,-100,0,0,0,0,0,0,0,0,42,0,0,0,0,0,22
2021-07-27,0,0,0,0,-100,0,0,0,0,0,0,0,0,35,0,0,0,0,0,21
2021-07-28,0,0,0,0,-100,0,0,0,0,0,0,0,0,21,0,0,0,0,0,22
2021-07-29,0,0,0,0,-100,0,0,0,0,0,0,0,0,28,0,0,0,0,0,21
2021-07-30,0,0,0,0,-100,0,0,0,0,0,0,0,0,43,0,0,0,0,0,22
2021-08-02,0,0,0,0,-100,0,0,0,0,0,0,0,0,3,0,0,0,0,0,23
2021-08-03,0,0,0,0,-100,0,0,0,0,0,0,0,0,49,0,0,0,0,0,22
2021-08-04,0,0,0,0,-100,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22
2021-08-05,0,0,0,0,-100,0,0,0,0,0,0,0,0,73,0,0,0,0,0,21
2021-08-06,0,0,0,0,-100,0,0,0,0,0,0,0,0,61,0,0,0,0,0,21
2021-08-09,0,0,0,0,-100,0,0,0,0,0,0,0,0,73,0,0,0,0,0,21
2021-08-10,0,0,0,0,-100,0,0,0,0,0,0,0,0,51,0,0,0,0,0,21
2021-08-11,0,0,0,0,-100,0,0,0,0,0,0,0,0,81,0,0,0,0,0,21
2021-08-12,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2021-08-13,0,0,0,0,-100,0,0,0,0,0,0,0,0,79,0,0,0,0,0,21
2021-08-16,0,0,0,0,-100,0,0,0,0,0,0,0,0,39,0,0,0,0,0,21
2021-08-17,0,0,0,0,-80,0,0,0,0,0,0,0,0,71,0,0,0,0,0,17
2021-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
