account_rewards,date
-7493.617749999976,2022-10-27
-4936.2840000001015,2022-10-28
12709.759879999794,2022-10-31
5533.246500000008,2022-11-01
-644.9890000000596,2022-11-02
13800.187999999966,2022-11-03
-4194.345989999943,2022-11-04
-1937.689000000013,2022-11-07
-2315.883000000147,2022-11-08
-260.83499999996275,2022-11-09
6453.396000000066,2022-11-10
-17384.07500000007,2022-11-11
11478.93600000022,2022-11-14
1203.5519999999087,2022-11-15
-2095.136999999988,2022-11-16
-8234.793999999994,2022-11-17
-15780.92200000002,2022-11-18
-1993.8760000000475,2022-11-21
-5180.129999999888,2022-11-22
-7899.201010000077,2022-11-23
1568.396250000107,2022-11-24
12302.238199999905,2022-11-25
33350.536020000116,2022-11-28
4413.988119999878,2022-11-29
11028.80310000002,2022-11-30
-11840.636199999833,2022-12-01
19060.59331999987,2022-12-02
13244.655910000089,2022-12-05
9479.110559999826,2022-12-06
1559.6279200001154,2022-12-07
51.773519999929704,2022-12-08
5165.376170000061,2022-12-09
-4613.809490000131,2022-12-12
14383.760810000007,2022-12-13
1320.5814600002486,2022-12-14
5046.855019999901,2022-12-15
-12189.05978000001,2022-12-16
-17245.137149999966,2022-12-19
6174.425999999861,2022-12-20
12235.546139999991,2022-12-21
5808.96640000015,2022-12-22
-11583.736700000009,2022-12-23
827.0246300001163,2022-12-26
-3063.7606800002977,2022-12-27
-7977.087999999872,2022-12-28
708.6393199999584,2022-12-29
-6708.204660000047,2022-12-30
3063.0103600001894,2023-01-03
28154.949999999953,2023-01-04
-5347.860000000102,2023-01-05
7639.0800000000745,2023-01-06
12266.519999999902,2023-01-09
-10427.789999999804,2023-01-10
-7083.430000000168,2023-01-11
10580.719999999972,2023-01-12
23740.45000000007,2023-01-13
-2368.509999999893,2023-01-16
-2436.880000000121,2023-01-17
4735.739999999991,2023-01-18
-1058.4100000000326,2023-01-19
-26969.349999999977,2023-01-20
-11645.76000000001,2023-01-30
