account_rewards,date
68.64199999999255,2021-06-03
-110.4309999999823,2021-06-04
70.62199999997392,2021-06-07
-44.402999999932945,2021-06-08
-444.39300000004005,2021-06-09
-838.3050000000512,2021-06-10
-130.16599999996834,2021-06-11
243.8519999999553,2021-06-15
-49.179000000003725,2021-06-16
5.826000000000931,2021-06-17
237.82500000006985,2021-06-18
211.80299999995623,2021-06-21
-186.2149999999674,2021-06-22
261.79899999999907,2021-06-23
1270.780000000028,2021-06-24
-740.3049999999348,2021-06-25
-1619.2590000000782,2021-06-28
49.83599999989383,2021-06-29
-1144.1670000000158,2021-06-30
-2924.10699999996,2021-07-01
1340.0389999999898,2021-07-02
2019.9749999999767,2021-07-05
-510.11699999996927,2021-07-06
-1972.094999999972,2021-07-07
-1054.0130000000354,2021-07-08
-1563.9710000000196,2021-07-09
1022.0889999999199,2021-07-12
-3055.9490000000224,2021-07-13
83.1600000000326,2021-07-14
-243.84299999999348,2021-07-15
1205.1650000000373,2021-07-16
-771.8740000000689,2021-07-19
-894.8499999999767,2021-07-20
1832.1769999999087,2021-07-21
-1193.8769999999786,2021-07-22
-7023.8429999999935,2021-07-23
-3592.6479999999283,2021-07-26
338.44900000002235,2021-07-27
-2733.560000000056,2021-07-28
-1283.4899999999907,2021-07-29
816.5419999998994,2021-07-30
1172.5219999999972,2021-08-02
-2067.506000000052,2021-08-03
-619.4579999999842,2021-08-04
-1398.4440000000177,2021-08-05
3952.5869999999413,2021-08-06
1265.500999999931,2021-08-09
428.4739999999292,2021-08-10
-2159.5350000000326,2021-08-11
346.50900000007823,2021-08-12
2495.5019999999786,2021-08-13
464.4529999999795,2021-08-16
7893.444000000018,2021-08-17
-4323.704999999958,2021-08-18
2801.375,2021-08-19
-2299.6759999999776,2021-08-20
1193.3649999999907,2021-08-23
634.344000000041,2021-08-24
-3189.667000000016,2021-08-25
2996.386999999988,2021-08-26
-5737.662999999942,2021-08-27
2414.4309999999823,2021-08-30
