account_rewards,date
1176.5669999999227,2021-09-01
1157.5220000001136,2021-09-02
596.5189999999711,2021-09-03
3647.4480000000913,2021-09-06
1624.2900000000373,2021-09-07
-58.78699999989476,2021-09-08
1594.1629999999423,2021-09-09
2457.078000000096,2021-09-10
-8892.097999999998,2021-09-13
-618.8589999999385,2021-09-14
-974.8400000000838,2021-09-15
-88.77399999997579,2021-09-16
-5554.704000000143,2021-09-17
1245.4180000000633,2021-09-22
-2879.5890000000363,2021-09-23
2903.5320000000065,2021-09-24
-1103.5,2021-09-27
745.5150000001304,2021-09-28
-2898.524000000092,2021-09-29
9981.570000000065,2021-09-30
4318.285000000033,2021-10-08
-1044.8420000000624,2021-10-11
-1180.7809999998426,2021-10-12
3423.246999999974,2021-10-13
-312.8960000000661,2021-10-14
-2240.8919999999925,2021-10-15
2127.164999999921,2021-10-18
-1912.8989999999758,2021-10-19
5833.166000000085,2021-10-20
-1061.015999999945,2021-10-21
797.0189999999711,2021-10-22
-1661.0069999998668,2021-10-25
-3538.9529999999795,2021-10-26
-2710.8429999999935,2021-10-27
-2077.7600000000093,2021-10-28
-1466.6650000000373,2021-10-29
1247.378000000026,2021-11-01
-2538.6419999999925,2021-11-02
854.4290000000037,2021-11-03
8311.419999999925,2021-11-04
3887.2210000000196,2021-11-05
-4530.914999999921,2021-11-08
-3183.8000000000466,2021-11-09
4223.309000000008,2021-11-10
128.16200000001118,2021-11-11
-2124.850999999908,2021-11-12
-1661.7900000000373,2021-11-15
-2806.762999999919,2021-11-16
-2044.686999999918,2021-11-17
1729.3809999999357,2021-11-18
-795.6909999998752,2021-11-19
-246.67399999999907,2021-11-22
-3453.6670000001322,2021-11-23
-586.6019999999553,2021-11-24
-3246.569999999949,2021-11-25
-2078.46399999992,2021-11-26
-555.3939999998547,2021-11-29
1687.5490000001155,2021-11-30
1388.5300000001444,2021-12-01
9.531000000075437,2021-12-02
-429.50700000009965,2021-12-03
3649.493999999948,2021-12-06
