date,8+,3+,sse
2021-11-08,1000000.0,1000000.0,3472.675897819082
2021-11-09,999927.96744,999976.512,3460.514920842479
2021-11-10,1000348.21178,999768.039,3486.8573763601553
2021-11-11,1000675.17472,1000650.666,3585.111614439826
2021-11-12,1000573.11991,1000305.996,3556.070237706066
2021-11-15,1000991.99139,1000502.41,3586.7273151823656
2021-11-16,1001288.7857500002,999515.783,3568.119086536217
2021-11-17,1000903.99066,999038.319,3537.2021202073515
2021-11-18,999800.84003,998661.922,3491.768645215523
2021-11-19,1000565.62409,999796.571,3541.3640311960025
2021-11-22,1000137.7620500004,999078.093,3506.847569233643
2021-11-23,1000372.8171200004,999025.6860000002,3518.727875589595
2021-11-24,1000133.1366900004,999029.2830000002,3510.8482697426793
2021-11-25,1000218.81265,998409.8790000002,3510.158735347686
2021-11-26,999068.44482,996231.5220000002,3444.4161490683227
2021-11-29,998793.31297,995518.3200000004,3421.0843879886047
2021-11-30,998567.65489,994918.1650000004,3397.554943258768
2021-12-01,998971.60894,996746.0470000004,3426.389669826741
2021-12-02,999577.98132,998753.8210000006,3449.9241115210384
2021-12-03,999973.9716599998,1000189.4830000006,3473.2417690188195
2021-12-06,1000143.3436500002,1003521.0690000006,3508.469714659319
2021-12-07,1000459.4714200002,1004205.4880000006,3537.0142436837436
2021-12-08,1000654.95632,1005362.8740000008,3549.656190164853
2021-12-09,1002260.0550300002,1008919.2070000006,3619.1230560874237
2021-12-10,1002083.1121100002,1008622.3850000008,3616.339046373698
2021-12-13,1000960.0046200004,1006488.5750000008,3577.6484845654504
2021-12-14,999611.2060800004,1002085.8500000008,3517.397001821323
2021-12-15,998870.5686400004,1001861.2940000008,3497.0976509596976
2021-12-16,999293.0627600008,1003364.7460000006,3515.996684257226
2021-12-17,998597.2762300008,1001036.1440000006,3480.8811469667958
2021-12-20,998408.1493300007,999527.6220000006,3469.7204034932047
2021-12-21,999073.2906600008,1000139.1500000006,3482.0921869892118
2021-12-22,998234.6739900006,997282.6580000006,3445.169196282632
2021-12-23,998513.8012800006,998264.2550000006,3455.32853873815
2021-12-24,998582.6103900006,996045.8220000004,3446.2897772381257
2021-12-27,998298.6543800008,995442.4540000004,3434.6187829823
2021-12-28,998289.4032200008,996658.1030000004,3444.012469060851
2021-12-29,997045.9637800008,988546.7180000003,3351.947788726474
2021-12-30,997229.2208300008,993668.5520000004,3394.0339046373697
2021-12-31,997631.6874900009,994713.2510000004,3412.3677672441977
2022-01-04,997466.1746600008,993744.9230000004,3395.4044739177134
2022-01-05,998059.8126200008,994597.6190000006,3423.5321066641754
2022-01-06,997299.083010001,988499.2940000006,3373.2929061784894
2022-01-07,998838.2243600008,994124.1140000006,3433.0837808807737
2022-01-10,999402.125080001,995523.8030000004,3451.9262130481484
2022-01-11,998919.1570900008,998710.4600000004,3459.946621211414
2022-01-12,998530.7503500008,999254.0460000004,3451.7494512679214
2022-01-13,997297.0533400011,998399.6200000003,3402.7370289076725
2022-01-14,995708.7147400012,984903.2120000004,3321.221687759772
