date,account_value
2021-12-02,967833.1710600001
2021-12-03,978586.00106
2021-12-06,999337.65106
2021-12-07,1000560.49106
2021-12-08,1006232.63106
2021-12-09,1025148.6510600001
2021-12-10,1021630.6610599998
2021-12-13,1007955.85106
2021-12-14,985720.66106
2021-12-15,988011.3910599999
2021-12-16,994940.4610599999
2021-12-17,986478.64106
2021-12-20,984340.9210599998
2021-12-21,993786.41106
2021-12-22,985117.1710599998
2021-12-23,988945.3010600001
2021-12-24,982754.61106
2021-12-27,977249.5610600001
2021-12-28,979927.3110600001
2021-12-29,955750.84106
2021-12-30,970407.85106
2021-12-31,978604.99106
