date,600585.SH,600703.SH,601390.SH,601939.SH,603259.SH
2020-12-08,-73,0,-100,0,40
2020-12-09,0,-100,0,12,24
2020-12-10,-26,-38,14,-12,22
2020-12-11,12,-43,100,1,0
2020-12-14,-100,33,-32,-1,-35
2020-12-15,0,3,1,0,72
2020-12-16,-88,-43,100,0,39
2020-12-17,-100,-100,34,45,14
2020-12-18,-39,-100,56,32,58
2020-12-21,66,0,9,-77,4
2020-12-22,-100,95,-28,100,-31
2020-12-23,-15,100,-49,100,30
2020-12-24,-34,100,-19,100,-100
2020-12-25,46,100,100,15,-76
2020-12-28,-71,100,100,-100,99
2020-12-29,1,-100,-70,-15,53
2020-12-30,-82,-51,94,-100,43
2020-12-31,100,100,-100,88,-83
2021-01-04,-100,87,34,100,-7
2021-01-05,-100,100,72,59,-71
2021-01-06,-51,-51,-100,83,-72
2021-01-07,-100,8,33,32,100
2021-01-08,-97,100,-6,16,-34
2021-01-11,72,-48,89,30,-26
2021-01-12,-100,0,-100,100,84
2021-01-13,18,-100,12,21,23
2021-01-14,40,89,-81,35,-42
2021-01-15,-37,52,-10,-25,-61
2021-01-18,-2,100,26,30,-55
2021-01-19,15,-10,-69,100,-29
2021-01-20,-4,-100,-100,-89,-55
2021-01-21,-100,85,12,-100,-100
2021-01-22,100,-69,16,-23,10
2021-01-25,-5,-50,-80,100,42
2021-01-26,-100,6,100,100,100
2021-01-27,75,-86,83,-86,-100
2021-01-28,-27,28,52,29,0
2021-01-29,-100,-98,-54,100,-89
2021-02-01,100,-100,37,0,44
2021-02-02,19,-26,81,100,-63
2021-02-03,37,73,-9,-100,-97
2021-02-04,19,-11,47,100,49
2021-02-05,73,-100,-100,-93,26
2021-02-08,28,34,-34,-84,-66
2021-02-09,84,83,80,-1,-100
2021-02-10,-8,38,-100,-79,-43
2021-02-18,-7,100,100,-16,-100
2021-02-19,100,87,14,30,-8
2021-02-22,3,100,-88,76,-97
2021-02-23,59,80,100,64,-53
2021-02-24,26,100,39,-60,84
2021-02-25,-92,-18,-59,-29,-100
2021-02-26,-100,-16,-100,1,-16
2021-03-01,88,27,-100,-86,-34
2021-03-02,97,-58,100,100,29
2021-03-03,26,100,-77,93,-79
2021-03-04,-7,-71,58,100,-21
2021-03-05,39,100,-69,50,20
2021-03-08,19,11,-18,-37,-64
2021-03-09,-100,86,100,41,-100
2021-03-10,-84,6,-93,8,100
2021-03-11,-100,35,-8,95,-41
