date,600585.SH,600703.SH,601390.SH,601939.SH,603259.SH
2021-03-15,-100,-100,-100,100,-100
2021-03-16,-100,-100,-100,100,-100
2021-03-17,-100,-100,-100,100,-100
2021-03-18,-100,-100,-100,100,-100
2021-03-19,-100,-100,-100,100,-100
2021-03-22,-100,-100,-100,100,-100
2021-03-23,-100,-100,-100,100,-100
2021-03-24,-100,-100,-100,100,-100
2021-03-25,-100,-100,-100,100,-100
2021-03-26,-100,-100,-100,100,-100
2021-03-29,-100,-100,-100,100,-100
2021-03-30,-100,-100,-100,100,-100
2021-03-31,-100,-100,-100,100,-100
2021-04-01,-100,-100,-100,100,-100
2021-04-02,-100,-100,-100,100,-100
2021-04-06,-100,-100,-100,100,-100
2021-04-07,-100,-100,-100,100,-100
2021-04-08,-100,-100,-100,100,-100
2021-04-09,-100,-100,-100,100,-100
2021-04-12,-100,-100,-100,100,-100
2021-04-13,-100,-100,-100,100,-100
2021-04-14,-100,-100,-100,100,-100
2021-04-15,-100,-100,-100,100,-100
2021-04-16,-100,-100,-100,100,-100
2021-04-19,-100,-100,-100,100,-100
2021-04-20,-100,-100,-100,100,-100
2021-04-21,-100,-100,-100,100,-100
2021-04-22,-100,-100,-100,100,-100
2021-04-23,-100,-100,-100,100,-100
2021-04-26,-100,-100,-100,100,-100
2021-04-27,-100,-100,-100,100,-100
2021-04-28,-100,-100,-100,100,-100
2021-04-29,-100,-100,-100,100,-100
2021-04-30,-100,-100,-100,100,-100
2021-05-06,-100,-100,-100,100,-86
2021-05-07,-13,-100,-100,100,0
2021-05-10,0,-100,-100,100,0
2021-05-11,0,-100,-100,100,0
2021-05-12,0,-100,-100,100,0
2021-05-13,0,-100,-100,100,0
2021-05-14,0,-100,-100,100,0
2021-05-17,0,-100,-100,100,0
2021-05-18,0,-100,-100,100,0
2021-05-19,0,-100,-100,100,0
2021-05-20,0,-100,-100,100,0
2021-05-21,0,-100,-14,100,0
2021-05-24,0,-100,0,100,0
2021-05-25,0,-100,0,100,0
2021-05-26,0,-100,0,100,0
2021-05-27,0,-100,0,100,0
2021-05-28,0,-100,0,100,0
2021-05-31,0,-100,0,100,0
2021-06-01,0,-100,0,100,0
2021-06-02,0,-100,0,100,0
2021-06-03,0,-100,0,100,0
2021-06-04,0,-100,0,100,0
2021-06-07,0,-100,0,100,0
2021-06-08,0,-100,0,100,0
2021-06-09,0,-100,0,100,0
2021-06-10,0,-100,0,100,0
2021-06-11,0,-100,0,100,0
2021-06-15,0,-100,0,100,0
