date,600585.SH,600703.SH,601390.SH,601939.SH,603259.SH
2021-06-17,82,-87,100,-70,0
2021-06-18,-14,17,-100,-12,0
2021-06-21,100,4,55,1,0
2021-06-22,0,100,-49,-100,0
2021-06-23,100,-100,-6,79,0
2021-06-24,54,100,100,30,50
2021-06-25,-20,-41,-100,2,39
2021-06-28,-62,29,0,-4,72
2021-06-29,-100,-70,100,-69,-94
2021-06-30,-30,-39,100,41,-58
2021-07-01,12,41,46,100,-9
2021-07-02,-100,100,-100,100,0
2021-07-05,100,-95,-100,68,5
2021-07-06,44,-4,-46,100,-5
2021-07-07,-100,100,0,100,0
2021-07-08,100,100,0,33,0
2021-07-09,-100,-38,0,20,0
2021-07-12,100,7,0,-49,0
2021-07-13,51,-100,8,100,0
2021-07-14,100,-100,100,-19,100
2021-07-15,37,36,100,-47,100
2021-07-16,-100,-59,-75,100,-100
2021-07-19,-100,22,100,53,-37
2021-07-20,-51,-41,14,34,33
2021-07-21,-100,89,-95,31,100
2021-07-22,75,31,100,100,-100
2021-07-23,-78,100,-34,-35,43
2021-07-26,100,100,42,100,-32
2021-07-27,-35,1,-100,44,-44
2021-07-28,-65,-100,-100,-79,36
2021-07-29,0,-100,15,59,-29
2021-07-30,0,100,-27,100,-70
2021-08-02,0,-71,94,-62,0
2021-08-03,100,-14,-61,100,0
2021-08-04,-46,-84,-81,-100,0
2021-08-05,87,100,100,100,10
2021-08-06,100,-100,100,36,-10
2021-08-09,53,-100,-71,-67,0
2021-08-10,100,100,-71,28,100
2021-08-11,100,-100,13,-100,-29
2021-08-12,-81,55,-50,81,-71
2021-08-13,-100,-100,-21,100,0
2021-08-16,-72,-8,0,-74,0
2021-08-17,66,-55,0,15,0
2021-08-18,-100,88,70,-31,0
2021-08-19,-100,-100,100,-100,0
2021-08-20,-25,100,-26,70,32
2021-08-23,81,-62,100,58,23
2021-08-24,-62,-93,100,100,-55
2021-08-25,-100,-98,96,-34,0
2021-08-26,-1,-7,-17,-26,100
2021-08-27,20,-15,-100,73,-4
2021-08-30,-20,-67,87,57,100
2021-08-31,0,44,-100,33,100
2021-09-01,0,-13,50,100,-4
2021-09-02,0,-61,49,100,7
2021-09-03,0,-55,-97,-85,100
2021-09-06,0,3,39,-34,100
2021-09-07,34,6,-100,-38,100
2021-09-08,63,-100,-71,48,100
2021-09-09,-58,42,36,100,15
2021-09-10,34,-100,-94,-16,-6
