date,600028.SH,600030.SH,600050.SH,600196.SH,600340.SH,600547.SH,600585.SH,600837.SH,601012.SH,601066.SH,601166.SH,601211.SH,601236.SH,601318.SH,601319.SH,601601.SH,601628.SH,601688.SH,601766.SH,601939.SH
2021-03-31,-41,57,-38,100,0,-82,-30,0,0,100,-54,0,-32,-7,0,100,-61,1,95,-100
2021-04-01,-40,98,100,-100,30,35,-60,-4,-100,19,36,100,-100,-80,-100,47,-74,13,-37,-22
2021-04-02,24,100,-100,4,85,-5,61,-18,-73,-38,95,41,100,-83,-8,-31,53,-100,-58,0
2021-04-06,-93,-100,100,33,100,-44,-9,100,100,47,-100,-85,100,100,45,-12,-30,89,24,0
2021-04-07,100,100,14,-20,29,100,-14,-100,-26,-100,0,100,100,-100,100,-100,71,2,100,100
2021-04-08,-24,-100,-100,100,-20,100,-100,100,57,0,-75,-9,-30,-89,25,-38,100,1,100,-100
2021-04-09,-5,16,-37,-40,100,10,-49,25,-100,-28,50,-100,10,-100,-23,-77,-100,23,-86,0
2021-04-12,-84,100,-14,43,5,32,100,30,83,13,-31,-47,-91,100,45,11,-79,100,-86,100
2021-04-13,-4,0,-100,-100,-100,-87,-41,49,-100,-13,-100,91,-100,-65,67,-16,-100,100,12,100
2021-04-14,-100,71,-40,-20,100,7,-57,-55,29,0,17,96,54,-100,-100,-2,100,-9,-64,61
2021-04-15,72,-92,26,100,-29,-100,67,39,19,0,-91,-39,-19,-92,100,-44,-67,-100,0,-100
2021-04-16,-33,25,-100,-44,0,0,98,-25,-94,0,-2,100,-100,49,34,73,-97,-100,0,100
2021-04-19,-100,32,-85,11,100,10,41,100,12,0,-86,41,100,100,-2,82,4,60,0,-100
2021-04-20,5,4,-3,-62,100,89,-74,65,-100,74,96,88,32,-100,80,100,-85,-100,45,-1
2021-04-21,-95,-58,-47,49,-100,1,16,-71,-100,65,-69,-64,88,-44,36,-74,-39,5,-45,-27
2021-04-22,-8,28,-85,59,13,-82,-100,-100,66,-15,100,-100,95,-100,-19,80,29,-36,39,-100
2021-04-23,-23,-97,88,100,-14,100,-31,13,37,-8,-100,-63,75,-78,-85,-100,-100,-54,60,-33
2021-04-26,20,100,8,81,100,100,17,100,-95,79,-100,1,-64,87,-51,-80,-100,87,-64,24
2021-04-27,100,58,100,66,28,100,19,-64,-100,-5,-100,-38,-62,-69,-100,100,100,58,100,100
2021-04-28,-31,-29,-36,36,-100,37,-68,-100,-73,-100,49,-6,18,-62,-77,-24,-95,45,-26,-100
2021-04-29,2,-100,40,-11,100,97,-33,36,100,-3,3,32,100,-61,100,91,-33,-52,19,100
