date,600028.SH,600030.SH,600050.SH,600196.SH,600340.SH,600547.SH,600585.SH,600837.SH,601012.SH,601066.SH,601166.SH,601211.SH,601236.SH,601318.SH,601319.SH,601601.SH,601628.SH,601688.SH,601766.SH,601939.SH
2020-09-02,-73,-87,0,0,-94,0,0,0,0,0,91,1,0,34,0,0,0,0,93,0
2020-09-03,0,0,-41,0,-18,0,0,0,7,0,0,2,0,0,0,0,0,0,1,0
2020-09-04,0,0,-89,0,-92,0,0,0,36,0,0,3,0,0,-54,0,0,0,-20,1
2020-09-07,2,-59,-12,0,0,0,0,0,0,0,0,84,0,0,96,0,0,0,-74,0
2020-09-08,-2,0,-55,0,-60,0,0,0,0,0,1,0,0,0,0,40,0,0,0,1
2020-09-09,0,0,-20,0,-59,0,0,0,0,0,0,0,85,0,-67,0,0,0,1,-2
2020-09-10,-63,-98,0,0,-10,1,0,0,29,0,-45,-43,1,0,0,97,0,0,-1,0
2020-09-11,1,-4,-29,0,-22,0,17,0,0,0,0,0,0,0,-56,0,0,0,2,0
2020-09-14,-69,0,-83,0,-69,98,0,0,0,0,-38,0,0,3,-73,0,0,0,-2,2
2020-09-15,-86,0,-15,0,-96,-38,0,0,0,0,-18,95,-13,25,-37,1,0,0,0,2
2020-09-16,-36,0,0,0,-87,0,0,0,0,0,0,3,0,12,0,0,0,0,98,0
2020-09-17,0,-56,0,0,-57,90,-17,0,0,0,0,0,-20,0,-81,69,0,0,4,0
2020-09-18,-51,0,-57,0,-36,0,0,0,0,0,2,0,-53,0,-21,0,53,0,-54,0
2020-09-21,87,0,-35,0,-16,-18,0,0,0,0,0,99,0,0,0,18,-35,0,-45,0
2020-09-22,1,0,-52,0,0,-63,0,0,0,0,-13,0,0,34,-87,0,0,0,0,0
2020-09-23,-31,-26,0,0,-83,0,0,0,6,0,-86,-30,0,0,0,98,1,0,0,94
2020-09-24,-50,0,-41,0,0,0,0,1,-5,0,0,-11,0,15,-31,0,0,0,-3,0
2020-09-25,-39,0,1,0,0,0,0,-1,-64,0,-3,0,0,96,-37,-59,-14,0,0,8
2020-09-28,1,0,-57,0,-61,0,0,0,0,0,0,68,0,0,0,0,0,0,0,-7
2020-10-09,1,0,-85,0,0,32,0,0,0,0,-26,0,0,0,0,0,0,0,1,0
2020-10-12,3,0,-34,0,-8,0,0,0,0,0,1,0,0,11,-80,0,0,0,-1,-9
2020-10-13,0,79,0,0,-30,0,0,0,0,0,-91,1,0,0,-73,0,0,0,0,0
2020-10-14,1,0,-30,0,-86,0,0,3,25,0,0,0,0,0,0,0,-5,0,1,-60
2020-10-15,-13,-99,4,0,0,0,0,-3,0,0,0,0,0,0,-60,0,74,0,-1,0
2020-10-16,-21,-62,-37,37,0,0,0,0,0,0,0,2,0,0,0,-4,0,0,2,0
2020-10-19,0,0,0,0,-86,0,0,0,0,0,0,0,57,0,-28,0,0,0,97,-17
2020-10-20,-91,1,-55,53,-42,0,0,0,0,0,0,-40,0,0,-62,0,-15,0,2,0
2020-10-21,0,-40,0,30,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0
2020-10-22,-29,-38,-84,0,-46,91,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-10-23,0,0,0,0,-25,37,0,0,0,0,0,0,-27,0,0,0,0,0,0,-13
2020-10-26,0,0,-54,0,-23,-13,58,0,0,0,0,0,0,0,99,0,-59,0,7,0
2020-10-27,0,-7,-94,0,-3,0,0,0,0,0,68,0,1,0,-30,0,0,0,-57,0
2020-10-28,-1,99,3,-64,-32,2,0,0,-20,0,0,0,-1,23,0,0,0,0,96,0
2020-10-29,-44,-27,1,-56,-8,-75,0,0,0,0,0,-25,0,87,0,-26,0,0,95,0
2020-10-30,0,-89,-61,97,-62,0,0,0,-25,0,0,0,0,5,-21,2,0,0,2,0
2020-11-02,-22,-27,3,0,-36,0,-58,0,93,0,-4,-62,0,4,0,-55,0,0,0,0
2020-11-03,-62,-53,-27,-30,-82,0,69,0,0,0,0,95,0,0,-12,-34,0,0,-13,88
2020-11-04,73,-96,2,0,-96,-71,0,0,36,0,-63,-10,0,0,76,91,0,0,86,79
2020-11-05,0,0,0,0,0,0,0,0,0,0,3,-41,0,10,-16,0,0,0,0,0
2020-11-06,-52,0,0,-18,0,98,0,0,2,0,0,-57,0,0,-82,0,0,0,4,0
2020-11-09,-9,0,-4,0,-21,0,0,0,14,0,0,0,0,-7,-14,0,0,0,0,3
2020-11-10,-79,0,1,0,-67,0,0,0,42,0,-79,0,0,0,0,1,0,0,-20,-54
2020-11-11,-87,-48,0,-9,-73,92,-19,0,0,48,0,0,0,0,-92,0,0,0,0,93
2020-11-12,-65,-81,0,57,-77,0,0,0,0,-18,97,0,0,0,2,0,0,0,-20,-92
2020-11-13,-6,-63,-12,0,-28,0,0,0,69,-30,0,0,0,0,0,-21,0,0,-74,6
2020-11-16,-71,-65,5,0,-95,0,0,0,89,0,-91,0,0,0,-58,12,0,0,-92,-57
