date,600000.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH
2022-08-16,10,-48,0,100,29,-100,49,32,100,100
2022-08-17,100,43,0,94,-29,-100,23,-32,-100,-34
2022-08-18,100,80,100,-94,0,-100,13,0,0,23
2022-08-19,69,4,-100,100,0,72,-99,34,0,100
2022-08-22,100,23,93,100,61,-14,100,33,0,8
2022-08-23,82,-74,-36,34,-18,32,11,-67,0,100
2022-08-24,-13,20,-57,70,-43,14,67,0,40,100
2022-08-25,100,-100,0,21,0,78,-68,0,-1,0
2022-08-26,-100,-3,99,48,0,-53,-53,42,27,73
2022-08-29,-75,-5,-75,-23,0,100,100,100,-66,39
2022-08-30,-100,0,-24,100,0,85,0,4,0,-12
2022-08-31,-25,89,0,76,100,-4,4,-62,0,-100
2022-09-01,-80,49,25,-100,-23,27,-10,98,0,100
2022-09-02,100,-60,11,-4,-77,22,-100,59,70,28
2022-09-05,45,74,21,-67,100,-100,74,46,-50,-58
2022-09-06,-32,-82,-57,18,-72,-74,-5,70,-20,-100
2022-09-07,0,-100,53,55,-28,-7,61,100,90,83
2022-09-08,56,-89,-19,30,0,-14,100,-42,46,71
2022-09-09,-100,-64,61,-37,100,-44,94,-100,-69,100
2022-09-13,94,-36,100,-40,-81,5,100,47,15,-93
2022-09-14,100,-57,-100,18,-19,57,-4,32,30,-100
2022-09-15,-50,-100,2,36,22,68,83,-100,-3,-2
2022-09-16,-48,3,100,11,-22,-100,-100,16,29,-39
2022-09-19,-76,-100,100,-100,0,-10,-4,-91,-100,100
2022-09-20,42,-100,44,-99,100,52,32,-100,21,95
2022-09-21,-27,54,46,9,-46,-16,11,51,-59,-28
2022-09-22,100,-100,90,44,62,-65,0,100,0,-48
2022-09-23,78,-86,43,-54,-100,82,66,9,100,-60
2022-09-26,14,-100,6,-22,-16,-66,79,-100,39,-100
2022-09-27,100,100,2,69,56,100,100,-55,93,-100
2022-09-28,45,100,-39,95,14,-100,61,61,50,-100
2022-09-29,-30,-100,88,-100,-69,-56,-37,100,15,87
2022-09-30,-3,-100,100,79,63,-62,100,8,-100,-53
2022-10-10,1,63,-27,90,100,56,100,66,-84,26
2022-10-11,-1,27,66,100,-9,-100,100,-54,23,-84
2022-10-12,-8,-32,-100,-47,25,100,-69,28,-39,12
2022-10-13,59,-23,100,85,100,100,-85,93,40,-100
2022-10-14,-66,25,-45,40,-21,-100,-52,100,11,0
2022-10-17,-45,100,100,-93,40,100,-100,-100,70,-34
2022-10-18,-100,-100,11,-81,-34,-63,-100,100,69,0
2022-10-19,21,47,53,9,-32,100,100,58,6,0
2022-10-20,-100,72,-100,54,18,78,89,46,-100,0
2022-10-21,-100,-86,-100,-41,-100,-48,63,13,-56,4
2022-10-24,-51,57,13,-81,-50,98,100,21,-41,100
2022-10-25,-34,-33,-11,70,100,-51,100,-100,-57,100
2022-10-26,-52,-54,49,-41,100,-98,100,-12,-5,-68
2022-10-27,55,-76,100,-45,23,56,-100,31,-34,-1
2022-10-28,-1,44,-54,86,-100,100,-67,-100,42,37
2022-10-31,46,-33,-50,98,48,-10,-100,75,-3,-100
2022-11-01,-33,-69,-15,39,-19,-8,57,100,-39,-31
2022-11-02,100,-100,100,100,100,4,96,100,0,-8
2022-11-03,70,25,-100,100,100,-97,100,42,100,-33
2022-11-04,-100,100,59,-46,-100,41,-33,40,-37,0
2022-11-07,-75,0,-69,46,79,-68,-100,100,-63,0
2022-11-08,53,3,70,-34,42,-8,49,10,43,0
2022-11-09,-25,35,55,-10,-14,100,-1,-6,83,66
2022-11-10,-100,-34,100,97,-60,-47,-24,100,-69,15
2022-11-11,87,-100,-100,-100,-86,29,-24,-72,9,20
2022-11-14,-59,63,-6,37,47,-42,-37,5,5,-95
2022-11-15,73,-63,28,100,100,-100,-100,100,100,7
2022-11-16,70,-25,-65,-66,-49,-14,-49,100,-60,-13
2022-11-17,12,100,37,100,59,20,100,7,17,100
