date,600009.SH,600028.SH,600030.SH,600031.SH,600050.SH,600104.SH,600309.SH,600585.SH,601012.SH,601066.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601668.SH,601766.SH,601939.SH,603993.SH
2022-07-27,-88,-25,-41,-88,-15,-100,100,0,0,0,-84,54,0,2,0,-29,0,-53,-100,0
2022-07-28,71,81,-100,-100,77,48,-100,25,0,0,100,100,0,-2,-46,-100,100,100,-100,0
2022-07-29,100,0,0,-43,0,-24,0,-10,19,0,-22,-18,0,0,-34,-18,-83,0,0,0
2022-08-01,-100,-100,-54,-65,-8,-69,0,33,-19,67,41,-71,53,100,-58,-53,48,71,-100,97
2022-08-02,-91,-59,20,100,-73,100,0,-48,0,34,100,-46,-23,100,-85,-60,57,-75,-100,58
2022-08-03,-38,-100,-100,-15,-54,-100,5,26,0,6,-100,65,100,-52,94,48,-55,20,-18,100
2022-08-04,100,-100,90,-100,2,-49,-5,9,100,-100,-84,93,-100,-3,1,17,58,100,68,-100
2022-08-05,-100,10,100,-99,-100,-80,0,-35,10,100,-11,-67,-30,73,-100,100,100,78,66,100
2022-08-08,-100,63,48,-35,-97,64,0,29,56,100,-76,-30,24,100,100,-12,100,5,-56,57
2022-08-09,-24,66,-24,87,-67,0,100,-29,100,-50,-100,-20,-24,0,7,-78,-25,0,-70,-12
2022-08-10,100,0,0,1,-13,0,9,0,-100,0,1,0,0,0,0,-79,100,100,0,0
2022-08-11,100,-1,-87,100,-43,-100,-35,0,-100,-100,-100,-82,0,26,47,-97,100,14,-24,-61
2022-08-12,100,100,37,16,7,100,-74,0,-66,-57,100,-100,0,100,78,58,100,98,100,100
2022-08-15,8,-100,9,100,-71,-35,5,0,0,0,42,100,0,69,-100,56,100,-100,-13,-71
2022-08-16,-19,-100,-100,100,47,-91,0,90,35,0,100,100,0,-94,-34,100,-37,87,100,13
2022-08-17,-77,0,-99,100,20,-44,68,0,0,0,0,0,0,-100,-32,-8,0,-13,0,100
2022-08-18,-39,-49,90,-85,38,-58,-23,-90,40,0,34,0,98,-19,13,-33,100,-75,-100,-47
2022-08-19,-100,100,-12,44,-100,-36,-46,100,100,0,23,30,-33,-74,-34,14,30,53,-100,100
2022-08-22,100,99,-100,-97,29,6,-4,-100,-35,0,100,100,86,100,-100,10,-100,100,100,-78
2022-08-23,0,3,-51,0,-28,33,0,100,0,100,-27,0,-55,0,-100,-100,-6,0,-10,0
2022-08-24,100,-89,17,-100,-3,100,32,-79,-21,88,-100,-100,-49,-70,97,-100,-18,27,-76,-100
2022-08-25,-100,-22,100,0,-100,1,71,-21,100,-100,0,-100,0,0,3,100,-71,0,-66,-95
