account_rewards,date
2507.6070999996737,2021-07-05
27464.47316000017,2021-07-06
-7367.210659999982,2021-07-07
746.3455799999647,2021-07-08
-1231.4956399998628,2021-07-09
-8322.640750000253,2021-07-12
-19377.071950000012,2021-07-13
32582.749910000013,2021-07-14
-20298.637130000046,2021-07-15
-6405.8007099997485,2021-07-16
3559.434630000149,2021-07-19
18893.19148999965,2021-07-20
5408.476050000172,2021-07-21
-5353.373399999808,2021-07-22
-40384.728770000045,2021-07-23
10551.044489999651,2021-07-26
5716.819000000134,2021-08-04
-10536.965279999888,2021-08-05
-1833.9923300001537,2021-08-06
3310.7521499999566,2021-08-09
-7811.3859799999045,2021-08-10
642.2942199999234,2021-08-11
-12819.890260000015,2021-08-12
5424.540040000109,2021-08-13
-1847.4848699999275,2021-08-16
5647.050549999811,2021-08-17
-21511.478180000093,2021-08-18
-10396.50123999978,2021-08-19
9477.870230000233,2021-08-20
24730.65530999971,2021-08-23
12503.77277000004,2021-08-24
-21456.50503999996,2021-08-25
23522.96854000003,2021-08-26
22559.11342999991,2021-08-27
-24314.576040000073,2021-08-30
3154.8859099999536,2021-08-31
18667.61995000008,2021-09-01
-11796.652069999953,2021-09-02
14914.362530000042,2021-09-03
12247.47266999993,2021-09-06
-18362.116559999646,2021-09-07
-8831.19334000023,2021-09-08
17110.81958999997,2021-09-09
-811.892889999901,2021-09-10
-14004.680520000169,2021-09-13
-3793.8422000001883,2021-09-14
-20595.106489999685,2021-09-15
1001.1000500000082,2021-09-16
-6347.391340000206,2021-09-17
-19928.143039999763,2021-09-22
-606.2155500001973,2021-10-08
-10091.655630000168,2021-10-11
20228.688670000294,2021-10-12
-8454.74027999991,2021-10-13
14315.262609999743,2021-10-14
5096.500630000024,2021-10-15
-2067.0824999996694,2021-10-18
11787.01913999999,2021-10-19
-12592.298890000326,2021-10-20
4709.086110000149,2021-10-21
12900.849129999755,2021-10-22
-14346.811809999985,2021-10-25
