account_rewards,date
8973.185030000284,2021-03-31
-7333.520120000001,2021-04-01
17163.980499999598,2021-04-02
-15818.182159999618,2021-04-06
-6608.244620000245,2021-04-07
-23483.773580000037,2021-04-08
-16324.354759999784,2021-04-09
-5231.480840000091,2021-04-12
1238.4422300001606,2021-04-13
6402.015089999884,2021-04-14
152.56807999988087,2021-04-15
23626.67171000014,2021-04-16
7390.741719999816,2021-04-19
1080.0966700003482,2021-04-20
-9577.3169600002,2021-04-21
6558.952569999732,2021-04-22
-13147.700099999784,2021-04-23
778.0291699997615,2021-04-26
12464.205070000142,2021-04-27
14391.553080000449,2021-04-28
8098.817729999777,2021-04-29
1733.022009999957,2021-04-30
-8203.370339999907,2021-05-06
1516.5608399999328,2021-05-07
-2695.432310000062,2021-05-10
848.8073799996637,2021-05-11
-11238.378429999575,2021-05-12
31774.592979999958,2021-05-13
9521.657149999868,2021-05-14
-1002.7488899999298,2021-05-17
-5870.338719999883,2021-05-18
-4502.611700000009,2021-05-19
-7722.155470000114,2021-05-20
-4284.153619999997,2021-05-21
31329.169470000314,2021-05-24
-4908.604210000485,2021-05-25
-7302.346349999774,2021-05-26
10313.221459999913,2021-05-27
17488.63502000016,2021-05-28
-14447.321839999873,2021-05-31
-5340.967710000463,2021-06-01
-22393.821289999643,2021-06-02
-964.7947600001935,2021-06-03
-7118.096489999909,2021-06-04
7547.58666000003,2021-06-07
2851.8472199998796,2021-06-08
22829.280140000163,2021-06-09
12663.190890000202,2021-06-10
-24853.955199999968,2021-06-11
-21588.86677000043,2021-06-15
-6446.632010000059,2021-06-16
10395.253000000026,2021-06-17
4981.966670000227,2021-06-18
4989.226449999958,2021-06-21
-120695.0985699998,2021-06-22
20278.021279999986,2021-06-23
17716.72036999988,2021-06-24
-7900.831109999912,2021-06-25
2367.003879999742,2021-06-28
4241.4207100002095,2021-06-29
-13291.918080000207,2021-06-30
-25978.21737999993,2021-07-01
