date,600009.SH,600028.SH,600030.SH,600031.SH,600050.SH,600104.SH,600309.SH,600585.SH,601012.SH,601066.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601668.SH,601766.SH,601939.SH,603993.SH
2022-04-25,100,100,100,100,100,100,-100,0,0,-100,100,-100,-98,0,100,100,0,100,100,-100
2022-04-26,100,100,100,100,100,100,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-04-27,100,100,100,100,100,82,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-04-28,100,100,100,100,100,86,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-04-29,100,100,100,100,100,61,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-05-05,100,100,100,100,100,76,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-05-06,100,100,100,100,100,87,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-05-09,100,100,100,100,100,92,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-05-10,100,100,100,100,100,86,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-05-11,100,100,100,100,100,100,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-05-12,100,100,100,100,100,100,-100,0,0,-100,100,-100,0,0,100,100,0,100,100,-100
2022-05-13,100,100,0,0,0,0,-5,0,0,-100,0,-100,0,0,38,100,0,100,0,-100
2022-05-16,100,100,0,0,1,0,0,0,0,-100,0,-100,0,0,3,62,0,100,0,-100
2022-05-17,100,100,0,0,0,0,0,0,0,-100,0,-100,0,0,3,62,0,100,0,-100
2022-05-18,100,100,0,0,0,0,0,0,0,-100,0,-100,0,0,1,67,0,100,0,-100
2022-05-19,100,100,0,0,0,0,0,0,0,-100,0,-100,0,0,1,67,0,100,0,-100
2022-05-20,100,94,0,0,0,0,0,0,0,-35,0,-100,0,0,0,0,0,100,0,-100
2022-05-23,100,0,0,0,1,0,0,0,0,0,0,-100,0,0,0,0,0,23,0,-100
2022-05-24,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,6,0,-100
2022-05-25,97,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,3,0,-100
2022-05-26,96,0,0,0,1,0,0,0,0,0,0,-100,0,0,0,0,0,8,0,-100
2022-05-27,98,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,2,0,-100
2022-05-30,97,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,6,0,-100
2022-05-31,96,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,9,0,-100
2022-06-01,99,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,9,0,-100
2022-06-02,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,5,0,-100
2022-06-06,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,6,0,-100
2022-06-07,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,10,0,-100
2022-06-08,91,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,4,0,-8
2022-06-09,91,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2022-06-10,93,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2022-06-13,93,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,1,0,0
2022-06-14,94,0,0,0,1,0,0,0,0,0,0,-100,0,0,0,0,0,6,0,0
2022-06-15,99,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,8,0,0
2022-06-16,96,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,8,0,0
2022-06-17,97,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,8,0,0
2022-06-20,90,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,7,0,0
2022-06-21,91,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,8,0,0
2022-06-22,92,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,1,0,0
2022-06-23,93,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,8,0,0
2022-06-24,93,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,3,0,0
2022-06-27,89,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,7,0,0
2022-06-28,82,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,9,0,0
2022-06-29,83,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,9,0,0
2022-06-30,82,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,2,0,0
2022-07-01,85,0,0,0,1,0,0,0,0,0,0,-100,0,0,0,0,0,3,0,0
2022-07-04,86,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,3,0,0
2022-07-05,87,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2022-07-06,87,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,6,0,0
2022-07-07,87,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,9,0,0
2022-07-08,88,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,7,0,0
2022-07-11,90,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,1,0,0
2022-07-12,89,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,8,0,0
2022-07-13,88,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,2,0,0
2022-07-14,83,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,1,0,0
2022-07-15,82,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,3,0,0
2022-07-18,84,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,6,0,0
2022-07-19,84,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,5,0,0
2022-07-20,83,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,9,0,0
2022-07-21,83,0,0,0,1,0,0,0,0,0,0,-100,0,0,0,0,0,6,0,0
2022-07-22,82,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2022-07-25,83,1,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
