account_value,date,daily_return
682407.0210500013,2022-04-25,
667263.7661500012,2022-04-26,-0.022190942403698566
681329.1561500013,2022-04-27,0.021079205425996728
671779.6346700013,2022-04-28,-0.014016017652850321
685764.3636900013,2022-04-29,0.02081743520979118
698868.3667400014,2022-05-05,0.019108608938920746
675583.3989000013,2022-05-06,-0.03331810244698441
674200.8313200012,2022-05-09,-0.002046479505344978
675300.7480000014,2022-05-10,0.0016314377391775103
680290.8943200014,2022-05-11,0.007389516944530161
669309.6693200013,2022-05-12,-0.01614195499555615
673149.1083200014,2022-05-13,0.005736416454136917
672013.1467700014,2022-05-16,-0.0016875333205670362
677488.8872200014,2022-05-17,0.008148263878941853
670758.2828000013,2022-05-18,-0.009934634422740674
666504.6572500012,2022-05-19,-0.006341517740554581
681256.3948000013,2022-05-20,0.022132984952972112
676049.4061700014,2022-05-23,-0.007643214316584213
668156.7071900013,2022-05-24,-0.01167473694668908
679921.0236700014,2022-05-25,0.017607121732678754
682688.2324500014,2022-05-26,0.004069897361113295
683485.0502900011,2022-05-27,0.0011671767611112216
691259.4552700013,2022-05-30,0.011374652564385412
694561.9951200011,2022-05-31,0.004777569152685013
685369.1732200013,2022-06-01,-0.013235423136579216
682450.3524800014,2022-06-02,-0.004258756964931276
687165.0340300011,2022-06-06,0.006908460861463128
685394.8245500012,2022-06-07,-0.0025761052910655557
691590.4147500012,2022-06-08,0.00903944701372339
690020.5022500012,2022-06-09,-0.0022700032656864932
688071.8894400015,2022-06-10,-0.002823992625792582
676897.4086100012,2022-06-13,-0.01624028099606678
688641.8906700012,2022-06-14,0.01735046095702608
704701.0644400014,2022-06-15,0.02332006517113827
696565.7551200013,2022-06-16,-0.011544340899307337
700288.4953600013,2022-06-17,0.00534442041205252
706136.8369400012,2022-06-20,0.008351331799322903
712192.6639700013,2022-06-21,0.008575996482838244
700609.0571900014,2022-06-22,-0.01626470948946457
708317.6384300013,2022-06-23,0.011002685678825674
714757.5274000015,2022-06-24,0.009091809409510487
731206.9627400014,2022-06-27,0.023014007841003492
764343.3721800011,2022-06-28,0.04531741508017095
755912.9312000014,2022-06-29,-0.011029651445730537
764830.6724400014,2022-06-30,0.011797312722039655
744104.4336400015,2022-07-01,-0.027099120820923694
740958.6909100015,2022-07-04,-0.004227555418009898
738833.8112000014,2022-07-05,-0.0028677438244100184
724196.3659300014,2022-07-06,-0.0198115530828592
719988.4749200013,2022-07-07,-0.0058104282318460765
719449.4941800014,2022-07-08,-0.0007485963439342047
704262.1818100014,2022-07-11,-0.021109629644412986
706860.1225100013,2022-07-12,0.003688882872175503
709349.0110400013,2022-07-13,0.003521048154707218
713804.9520000014,2022-07-14,0.006281732815087926
702114.4210600012,2022-07-15,-0.016377766653543957
702708.8972500012,2022-07-18,0.0008466941742948375
702515.2580300012,2022-07-19,-0.0002755610762262828
705288.8848100014,2022-07-20,0.0039481374223500065
696726.213690001,2022-07-21,-0.012140657969261781
710139.6240900013,2022-07-22,0.019252053584951412
701737.6622800014,2022-07-25,-0.011831422335806807
713527.8675300012,2022-07-26,0.016801442880651996
