date,600309.SH,600436.SH,600438.SH,600519.SH,600547.SH,600570.SH,600585.SH,600588.SH,600690.SH,600745.SH
2022-08-16,0,22,0,-74,26,11,56,0,16,71
2022-08-17,0,-22,0,71,-26,100,-12,10,24,-100
2022-08-18,100,100,34,-36,100,100,-44,-2,-100,69
2022-08-19,-100,0,3,18,-54,0,0,0,0,-33
2022-08-22,0,2,0,1,-46,-1,4,-8,-66,0
2022-08-23,100,-82,46,-100,100,14,47,0,97,-100
2022-08-24,73,100,68,75,-51,47,-51,0,-68,-76
2022-08-25,-30,100,-50,-17,-49,-100,25,21,52,-97
2022-08-26,-63,2,-15,24,0,-87,-25,-21,100,100
2022-08-29,-35,-30,0,7,0,1,0,0,-69,6
2022-08-30,-45,29,0,0,2,-14,0,0,100,-100
2022-08-31,97,-8,19,-42,29,100,0,23,97,63
2022-09-01,-11,0,0,32,-31,49,0,-23,100,0
2022-09-02,2,2,-16,0,0,0,2,0,0,0
2022-09-05,0,5,-89,1,0,51,64,0,-100,0
2022-09-06,0,0,0,0,0,1,0,0,0,3
2022-09-07,100,2,37,-33,100,23,-66,0,72,-84
2022-09-08,-100,100,84,-100,61,-52,31,0,84,-93
2022-09-09,64,37,70,-30,23,100,100,94,-43,0
2022-09-13,-99,-23,3,-100,78,100,-100,63,54,-100
2022-09-14,-53,-7,100,63,-36,95,-31,-100,50,7
2022-09-15,0,-100,-55,68,-1,-37,0,-16,-84,100
2022-09-16,100,100,21,87,-21,62,0,0,-69,-55
2022-09-19,-84,-100,100,27,-17,100,0,37,19,100
2022-09-20,-16,4,-77,0,-65,100,0,-46,100,4
2022-09-21,4,-76,100,8,-10,89,100,-32,-68,-43
2022-09-22,1,-72,0,7,3,22,100,100,100,-38
2022-09-23,-5,0,0,0,-47,0,15,0,100,-32
2022-09-26,8,-85,100,0,-52,-17,21,-50,32,100
2022-09-27,10,0,-55,-9,96,100,-100,-50,-27,20
2022-09-28,100,0,-100,12,29,-49,-64,0,-18,100
2022-09-29,1,33,0,-2,-26,1,-72,0,100,-100
2022-09-30,-25,0,-11,1,-9,-44,0,0,-94,100
2022-10-10,-68,-33,100,5,57,100,100,0,-62,-100
2022-10-11,0,0,0,0,1,0,28,100,-100,0
2022-10-12,100,74,38,-96,-100,-100,100,-100,13,91
2022-10-13,52,19,24,37,-64,99,100,0,-100,-19
2022-10-14,27,-89,-100,-34,0,-18,0,100,66,-82
2022-10-17,100,-4,-100,77,35,100,-96,100,10,100
2022-10-18,53,4,100,-15,-35,-100,-21,-100,-100,44
2022-10-19,0,-4,-85,14,100,100,38,0,100,0
2022-10-20,-100,0,79,-59,100,100,-2,48,100,-42
2022-10-21,-3,31,22,34,9,100,-70,-18,-100,-100
2022-10-24,0,0,0,29,7,-77,-34,-100,-24,-11
2022-10-25,0,-31,13,8,-7,-10,1,-13,-9,-100
2022-10-26,-24,0,-79,-100,-100,18,-74,62,-100,-99
2022-10-27,59,51,-81,100,-16,37,-70,100,82,28
2022-10-28,-100,-51,17,-25,42,26,0,100,100,81
2022-10-31,100,100,-89,-20,-100,-100,44,100,-100,-100
2022-11-01,0,100,-90,26,-35,6,0,1,-34,-44
2022-11-02,42,-21,-40,-5,96,58,33,19,-87,70
2022-11-03,0,-86,1,21,-83,98,-77,-14,-75,-70
2022-11-04,0,0,0,0,-4,0,0,9,-6,0
2022-11-07,14,-29,-10,8,79,-65,0,-100,-76,0
2022-11-08,38,100,-31,-57,-88,-81,100,-100,100,49
2022-11-09,71,14,78,-100,43,6,100,-100,100,-49
2022-11-10,-100,-79,100,13,-43,-21,100,-94,-36,0
2022-11-11,88,-99,100,-85,57,100,33,47,37,100
2022-11-14,-14,0,62,54,100,4,37,-47,31,32
2022-11-15,45,15,-10,100,-100,100,69,0,58,95
2022-11-16,8,80,-100,26,100,-62,69,0,100,-62
2022-11-17,-29,3,-100,4,100,-100,-73,0,100,33
