date,600309.SH,600436.SH,600438.SH,600519.SH,600547.SH,600570.SH,600585.SH,600588.SH,600690.SH,600745.SH
2021-11-08,0,0,0,99,99,100,100,100,0,0
2021-11-09,0,0,0,-99,99,100,100,100,0,0
2021-11-10,0,0,0,74,100,100,100,100,0,0
2021-11-11,0,0,0,99,99,100,100,100,0,0
2021-11-12,0,0,0,99,100,100,99,98,0,0
2021-11-15,0,0,0,100,100,100,32,100,0,0
2021-11-16,0,100,0,99,-99,99,98,100,3,0
2021-11-17,0,0,0,0,-99,67,99,-97,-3,100
2021-11-18,2,3,0,1,-83,99,-99,-59,0,-18
2021-11-19,28,80,51,-100,-18,98,-99,-86,99,-82
2021-11-22,-30,0,0,89,-98,-99,-100,33,-99,0
2021-11-23,0,2,1,6,-92,-99,-99,-31,0,0
2021-11-24,0,0,40,1,-94,-99,99,0,0,0
2021-11-25,3,0,-52,7,-14,-99,-98,-67,0,0
2021-11-26,-3,88,87,-100,0,99,100,-19,99,0
2021-11-29,91,-99,100,-38,15,-61,99,-98,-99,99
2021-11-30,-91,-86,-100,-63,98,100,99,77,0,-83
2021-12-01,0,-88,-98,-61,99,100,96,87,0,-16
2021-12-02,0,0,-29,100,-99,100,100,99,0,0
2021-12-03,0,0,0,-93,99,100,-99,100,0,0
2021-12-06,0,0,0,-99,100,100,100,99,0,0
2021-12-07,0,0,0,100,63,100,100,100,0,0
2021-12-08,0,0,5,100,99,100,-41,99,0,0
2021-12-09,0,0,100,41,-100,100,99,99,0,93
2021-12-10,0,0,21,80,0,99,99,100,0,-93
2021-12-13,0,0,-85,4,-86,21,-100,0,0,0
2021-12-14,0,0,9,3,-21,-79,-99,-15,99,0
2021-12-15,0,0,-38,1,-87,17,-40,-31,99,0
2021-12-16,0,0,-12,1,-80,0,-99,27,99,0
2021-12-17,0,2,0,2,-4,1,-99,1,-36,0
2021-12-20,0,0,0,0,-48,0,87,0,-90,0
2021-12-21,0,0,0,4,-7,-88,15,-87,0,0
2021-12-22,0,0,0,0,-41,0,19,0,0,0
2021-12-23,0,58,21,-98,0,23,100,48,50,0
2021-12-24,99,-60,13,-49,99,92,-99,100,-99,0
2021-12-27,-99,0,-34,-100,77,100,-99,99,-100,0
2021-12-28,0,0,0,99,100,100,100,100,-22,0
2021-12-29,0,0,0,-99,-100,100,99,-99,0,0
2021-12-30,0,0,0,99,100,100,99,100,0,0
2021-12-31,99,0,0,99,-99,100,-68,100,0,0
2022-01-04,-78,0,0,21,1,-54,0,-100,13,100
2022-01-05,-16,0,0,4,-73,23,-27,-32,1,-34
2022-01-06,-5,74,0,-20,-67,-58,51,57,72,-2
2022-01-07,0,-74,41,21,-38,0,-87,0,0,0
2022-01-10,0,0,0,0,0,0,39,-14,0,-10
2022-01-11,0,0,-31,4,1,-57,-98,0,35,0
2022-01-12,0,0,-10,1,-1,0,39,-22,0,-20
2022-01-13,0,3,0,1,2,-92,100,0,0,-15
2022-01-14,0,0,0,0,0,0,0,0,0,0
2022-01-17,0,0,0,1,1,-69,100,2,-74,2
2022-01-18,0,0,36,2,-3,-87,99,-7,-47,-20
2022-01-19,0,0,0,0,0,-1,5,0,0,-1
2022-01-20,0,0,0,2,17,-14,0,-89,0,0
2022-01-21,0,3,-36,4,2,-99,-53,-58,91,0
2022-01-24,0,4,0,0,-19,-91,99,0,9,0
2022-01-25,0,-10,0,0,0,0,100,49,-77,0
2022-01-26,0,4,0,4,0,-83,-92,1,-23,0
2022-01-27,0,90,94,-98,3,4,-99,10,88,0
2022-01-28,0,-94,100,89,99,99,100,100,99,0
2022-02-07,0,0,0,0,1,-35,65,0,0,0
2022-02-08,0,0,-90,6,-43,-43,-93,31,-54,0
2022-02-09,0,1,6,4,0,-68,-99,0,0,0
