account_rewards,date
0.0,2022-05-18
306.3960037829456,2022-05-19
-7.830307492050588,2022-05-20
-0.8260575729265516,2022-05-23
2.589196125737537,2022-05-24
-0.884672995435742,2022-05-25
33.86328402338224,2022-05-26
1.0564803089890664,2022-05-27
1.274451500993124,2022-05-30
-236.50256225112244,2022-05-31
0.21477971941113644,2022-06-01
0.7414057400554346,2022-06-02
-6.220197195202157,2022-06-06
-2.3745510756213917,2022-06-07
-71.06898574077506,2022-06-08
2.792502289134504,2022-06-09
-11.65699435254084,2022-06-10
1.3529325562290342,2022-06-13
0.16273746107917267,2022-06-14
0.05042485055008045,2022-06-15
-78.43107006172092,2022-06-16
-7.708256174457997,2022-06-17
0.016849664785793833,2022-06-20
-1.4419076730012494,2022-06-21
9.195927743172344,2022-06-22
-2.7195161685337887,2022-06-23
-8.745903612411077,2022-06-24
0.9387126286347414,2022-06-27
-15.307327634333037,2022-06-28
1.5715695220939894,2022-06-29
-10.134510438933859,2022-06-30
-0.571149974596176,2022-07-01
18.380585754290315,2022-07-04
-6.4777986358271855,2022-07-05
-0.04216071125646544,2022-07-06
13.052554728727616,2022-07-07
-6.255921867729548,2022-07-08
0.21439607992083787,2022-07-11
11.776781796887185,2022-07-12
-0.875281893893722,2022-07-13
-0.2190847783890973,2022-07-14
7.513104264221788,2022-07-15
-5.881653255767708,2022-07-18
10.344746239474704,2022-07-19
-4.150719359071424,2022-07-20
3.296344367529708,2022-07-21
-1.717950793887375,2022-07-22
5.507589913528049,2022-07-25
-33.98998477842549,2022-07-26
-0.18800534645185182,2022-07-27
6.570735605622633,2022-07-28
-0.18862149907599787,2022-07-29
1.8403411872943842,2022-08-01
44.90413335818392,2022-08-02
1.491640858219569,2022-08-03
-1.5679964629408485,2022-08-04
-15.218249392481157,2022-08-05
0.34866496883499154,2022-08-08
2.0000778818117335,2022-08-09
28.47156893785059,2022-08-10
0.27721351686509793,2022-08-11
-6.323249766519242,2022-08-12
