train/learning_rate,time/fps,train/n_updates,train/reward,time/time_elapsed,train/actor_loss,time/episodes,train/critic_loss,time/total_timesteps
0.001,96,6852,-0.016769,94,-25.290380937882393,4,218.5118138503068,9136
0.001,91,15988,-0.016769,199,-13.746399396250837,8,71.51652108641723,18272
0.001,89,25124,-0.016769,304,-6.718425009327887,12,6.27425083189211,27408
